Q1,Q2,Q3,Q4,Q5,Q6,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q19,Q20,Q21,Q22,Q23,Q23_6_TEXT,Q24,Q24_6_TEXT,Q26,Q27,Q28,Q29,Q30,Q32,Q33,Q34,Q34_4_TEXT,Q35,Q35_7_TEXT
No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,,Google,"Text message to your phone,Code sent to your email,A one time passcode from an app",,It's too time consuming,,To secure my account,,Yes,"Some college, but no degree",18-24 years old,No profession,Male,Independent,,Social Media,
I don't know,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,,Google,An “Approve” or “Deny” notification,,"I could not connect because I did not have my phone/secondary device,I could not connect because I had no cellular service/internet service,It's too time consuming",,It was required,,I don't know,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",35-44 years old,Sales and Office Occupations,Female,Democrat,,"Social Media,Printed newspapers,Online news sites,Other",Friends
No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,,No,,,Both,"Text message to your phone,Code sent to your email,A one time passcode from an app,An “Approve” or “Deny” notification",,It's too time consuming,,"It was required,To secure my account",,Yes,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",35-44 years old,Management Occupations,Male,Independent,,"Social Media,Online news sites,Podcasts",
No,Yes,Yes,Yes,Yes,No opinion,Yes,Yes,Yes,Yes,Yes,Yes,No,,,No,,,Both,A one time passcode from an app,,Time is too short to input code,,To secure my account,,No,Bachelor’s degree,18-24 years old,"Computer, Engineering, and Science Occupations",Male,No preference,,Online news sites,
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,,Both,Text message to your phone,,I could not connect because I did not have my phone/secondary device,,"It was required,It was automatic,To secure my account",,Yes,Bachelor’s degree,35-44 years old,Government Service,Male,Democrat,,"Social Media,TV,Online news sites",
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,,No,,,No,,,Google,Text message to your phone,,I could not connect because I had no cellular service/internet service,,"It was required,It was automatic,To secure my account",,Yes,"Some college, but no degree",25-34 years old,Sales and Office Occupations,Female,Independent,,"Social Media,TV",
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,,No,,,No,,,Google,"Text message to your phone,An “Approve” or “Deny” notification",,I could not connect because I did not have my phone/secondary device,,It was required,,Yes,"Some college, but no degree",18-24 years old,Business and Financial Operations Occupations,Male,Democrat,,"TV,Online news sites,Podcasts",
I don't know,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,,Neither,,,,,,It is was required,No,High school diploma or GED,18-24 years old,Student,Female,No preference,,"Social Media,TV",
No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Google,"Text message to your phone,Code sent to your email,An “Approve” or “Deny” notification",,It's too time consuming,,To secure my account,,Yes,Bachelor’s degree,25-34 years old,Healthcare,Male,No preference,,Social Media,
No,Yes,I don't know,Yes,Yes,Yes,Yes,Yes,Yes,No,,,Yes,Yes,Yes,No,,,Neither,,,,,,It is was required,Yes,High school diploma or GED,18-24 years old,No profession,Male,No preference,,Social Media,
